StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Cyhalothrin, Total lambda-, Total",ug/L,-5e-4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Permethrin, cis-, Total",ug/L,-0.005,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Coumaphos, Total",ug/L,-0.0051,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Fenthion, Total",ug/L,-0.0038,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Nickel, Total",ug/L,0.74,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Zinc, Dissolved",ug/L,2.2,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Nitrogen, Total Kjeldahl, Total",mg/L,0.26,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Total Organic Carbon, Total",mg/L,5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Resmethrin, Total",ug/L,-0.005,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Diazinon, Total",ug/L,-0.0052,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Merphos, Total",ug/L,-0.0058,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Parathion, Methyl, Total",ug/L,-0.0063,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Phosphorus as P, Dissolved",mg/L,0.058,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Cadmium, Dissolved",ug/L,0.02,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Lead, Total",ug/L,0.9,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"COD, Total",mg/L,31,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Total Suspended Solids, Particulate",mg/L,4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"MBAS, Total",mg/L,0.035,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Dichlorvos, Total",ug/L,-0.0029,33.398142,-117.26273,Not Recorded,NA,NA
